RANDOM_MOVES,SEARCH_EXIT_CODE,TOTAL_TIME,PLAN_LENGTH,PEAK_MEMORY,GENERATED_STATES,TIME_LIMIT_SEC,MEMORY_LIMIT_MB
1,0,100.306,1,94352,12,3600,5000
2,0,100.299,2,95908,60,3600,5000
3,0,100.356,3,105064,192,3600,5000
4,0,100.282,4,106488,1560,3600,5000
5,0,100.208,5,105968,3420,3600,5000
6,0,101.231,6,99448,78324,3600,5000
7,0,103.685,7,105968,185988,3600,5000
8,0,101.593,8,100168,252312,3600,5000
9,0,109.329,9,160000,2084676,3600,5000
10,0,156.234,10,879324,12201012,3600,5000
11,0,699.756,11,7771744,110991024,3600,5000
12,22,,,5119892,,3600,5000
